title;year;rating;studio;duration;must_see;metascore;user_score;number_critics;number_users;genre;director;writer;summary
Hunger;2008;Not Rated;IFC Films;1 h 36 m;True;82;7.6;25;116.0;Biography, Crime, Drama, Thriller;Steve McQueen;Enda Walsh, Steve McQueen;Hunger follows life in the Maze Prison, Northern Ireland, with an interpretation of the highly emotive events surrounding the 1981 IRA Hunger Strike led by Bobby Sands. With an epic eye for detail, the film provides a timely exploration of what happens when body and mind are pushed to the uttermost limit. (IFC Films)
Howl's Moving Castle;2005;PG;Buena Vista Pictures;1 h 59 m;True;82;8.6;40;502.0;Animation, Adventure, Family, Fantasy;Hayao Miyazaki;Diana Wynne Jones, Hayao Miyazaki;An amazing new animated adventure that celebrates the power of love to transform and the resiliency of the human spirit in the face of adversity.  (Disney)
Black Sabbath;1964;Approved;American International Pictures (AIP);1 h 32 m;False;82;8.8;8;9.0;Horror;Mario Bava;Anton Chekhov, Aleksei Tolstoy, Guy de Maupassant, Marcello Fondato, Alberto Bevilacqua, Mario Bava;Boris Karloff hosts a trio of horror stories concerning a stalked call girl, a vampire-like monster who preys on his family, and a nurse who is haunted by her ring's rightful owner.
A Hijacking;2013;R;Magnolia Pictures;1 h 43 m;True;82;7.2;26;45.0;Drama, Thriller;Tobias Lindholm;Tobias Lindholm;After hijacking the crew of a Danish cargo ship, Somali pirates engage in tense and lengthy negotiations with officials in Copenhagen.
Cold Comfort Farm;1996;PG;Gramercy Pictures (I);1 h 45 m;True;82;7.5;16;6.0;Comedy, Romance;John Schlesinger;Malcolm Bradbury, Stella Gibbons;A young woman orphaned in London is forced to take up residence with a group of oddball relatives at their farm.
Crimson Gold;2003;Unrated;Kimstim Films;1 h 37 m;True;82;8.5;26;8.0;Crime, Drama, Thriller;Jafar Panahi;Abbas Kiarostami;A murder and a suicide occur early one morning in a jewelry store. Behind this headline lies the story of a desperate man's feelings of humiliation in a world of social injustice.
Dear Zachary: A Letter to a Son About His Father;2008;Not Rated;Oscilloscope;1 h 35 m;False;82;8.5;11;58.0;Documentary, Biography, Crime, Drama;Kurt Kuenne;Kurt Kuenne;Dear Zachary: A Letter to a Son About His Father is a uniquely intense and personal documentary about the murder of Kurt’s oldest friend and the unbelievable legal and emotional madness that ensued. [Oscilloscope Pictures]
Anvil! The Story of Anvil;2009;Not Rated;Abramorama;1 h 20 m;True;82;8.1;26;28.0;Documentary, Biography, Drama, Music;Sacha Gervasi;;"At 14, Toronto school friends Steve ""Lips"" Kudlow and Robb Reiner made a pact to rock together forever. They meant it. Their band, Anvil, went on to become the ""demigods of Canadian metal,"" releasing one of the heaviest albums in metal history, 1982 Metal on Metal. The album influenced a musical generation, including Metallica, Slayer and Anthrax, that went on to sell millions of records. But Anvil's career took a different path, straight into obscurity. (Abramorama Films)."
The Trip;2011;TV-14;IFC Films;2 h 52 m;True;82;6.5;33;57.0;Comedy;Michael Winterbottom;Rob Brydon, Steve Coogan;When Steve Coogan is asked by The Observer to tour the country's finest restaurants, he envisions it as the perfect getaway with his beautiful girlfriend. But, when she backs out on him, he has no one to accompany him but his best friend and source of eternal aggravation, Rob Brydon. As the brilliant comic duo, freestyling with flair, drive each other mad with constant competition and showdowns of competing impressions, the ultimate odd couple realize in the end a rich amount about not only good food, but the nature of fame, relationships and their own lives. [IFC Films].
Marty;1955;Approved;United Artists;1 h 30 m;True;82;tbd;16;;Drama, Romance;Delbert Mann;Paddy Chayefsky;A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.
