"year";"rating";"duration";"must_see";"metascore";"user_score";"number_critics";"number_users";"genre_drama";"genre_crime";"genre_mystery";"genre_romance";"genre_adventure";"genre_biography";"genre_thriller";"genre_comedy";"genre_history";"genre_documentary";"genre_others"
1978;0;3;1;94;65;15;17;1;0;0;0;0;0;0;0;0;0;0
2021;2;0;1;93;78;37;53;1;0;0;0;0;0;0;0;0;0;1
2017;4;1;1;93;76;52;1;1;0;0;0;0;0;0;1;0;0;0
1942;6;0;1;93;80;17;16;1;0;0;1;0;0;0;0;0;0;0
1990;4;2;1;93;79;18;37;1;0;1;0;0;1;0;0;0;0;0
1959;6;3;1;93;83;18;40;1;0;0;0;0;0;0;0;0;0;1
2020;3;2;1;93;74;28;33;0;0;0;0;0;0;0;0;0;1;1
1966;0;2;0;93;83;14;22;1;0;0;1;0;0;0;0;0;0;0
2018;4;3;1;93;83;40;229;1;1;0;0;0;0;1;0;0;0;0
2018;0;3;0;93;0;7;0;0;0;0;0;0;0;0;0;1;1;0
1933;6;0;1;93;76;15;33;0;0;0;0;0;0;0;1;0;0;1
1935;6;0;1;93;79;15;35;0;1;1;0;0;0;1;0;0;0;0
2016;4;3;1;93;71;36;193;1;0;0;0;0;0;0;1;0;0;0
1972;2;1;0;93;86;12;55;0;0;0;0;0;0;0;1;0;0;0
2019;4;3;1;93;72;59;710;1;1;0;0;0;0;1;0;0;0;0
2013;4;1;1;93;78;53;578;1;0;0;0;0;0;0;0;0;0;1
1946;6;3;1;93;84;17;51;1;0;0;1;0;0;0;0;0;0;1
1966;0;1;1;93;74;22;30;1;1;0;0;0;0;0;1;0;0;0
1939;6;1;1;93;75;15;33;1;0;0;0;1;0;0;0;0;0;1
2023;0;3;0;93;52;11;19;0;0;0;0;0;0;0;0;0;1;0
2004;0;1;1;93;81;21;50;1;1;0;1;0;0;0;0;0;0;0
2015;0;1;0;93;77;9;23;0;0;0;0;0;0;0;0;0;1;0
2007;4;3;1;93;87;42;1;1;0;0;0;0;0;0;0;0;0;0
2013;6;1;0;93;81;7;29;1;0;0;0;0;0;0;0;0;0;0
1971;4;2;1;93;81;15;39;1;0;0;1;0;0;0;0;0;0;0
2015;0;3;0;93;52;13;44;1;0;0;0;0;0;0;0;0;0;1
2009;0;0;0;93;71;11;46;0;0;0;1;0;0;0;1;0;0;1
1981;0;1;0;93;68;9;9;0;0;0;0;0;0;0;0;1;1;1
1961;0;2;1;93;82;16;32;1;0;0;0;0;0;1;0;0;0;1
2022;4;3;1;93;74;59;212;1;0;0;0;0;0;0;0;0;0;1
1935;6;1;1;93;73;16;12;0;0;0;1;0;0;0;1;0;0;1
1992;4;1;1;93;72;18;9;0;1;1;0;0;0;0;0;0;1;0
1973;2;1;1;93;83;21;175;1;1;0;0;0;0;0;0;0;0;1
1993;0;3;0;93;0;9;0;1;0;0;0;0;0;0;0;0;0;0
1995;4;2;1;93;83;21;37;1;0;0;0;0;1;0;1;0;1;0
2022;0;2;1;93;79;29;20;1;0;0;1;0;0;0;0;0;0;0
1963;0;3;1;93;76;23;38;1;0;0;0;0;0;0;0;0;0;0
2015;4;3;1;93;81;45;1;1;1;0;0;0;1;0;0;0;0;0
